"Wikidata.ID","X","Name.der.Institution","Ort","Einrichtungsart","OA.Webseite.der.Institution","OA.Beauftragte.r","OA.Policy","OA.Leitlinie","Berliner.Erklärung","OA2020","bool_OA_Website","bool_OA_Beauftragte","bool_OA.Policy","bool_OA.Leitlinie","bool_OA.PL","bool_Repositorium.URL","bool_Berliner.Erklärung","bool_OA2020","X1","score","OpenScore_institution","bundesländer_score","country_score","institutionType"
"Q314089","Bayern","Hochschule für angewandte Wissenschaften München","München","Hochschule",NA,"Dr. Rainer Nerlich","ja",NA,"nein","nein","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",3,"50%",50,39.16,39.55,"Hochschule"
"Q1622129","Bayern","Hochschule für angewandte Wissenschaften Neu-Ulm","Neu-Ulm","Hochschule","www.hnu.de/studium/im-studium/bibliothek/publizieren/open-access",NA,"ja",NA,"nein","nein","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",3,"50%",50,39.16,39.55,"Hochschule"
"Q1622109","Bayern","Hochschule Hof","Hof","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",1,"16.67%",16.67,39.16,39.55,"Hochschule"
"Q1622076","Bayern","Hochschule Ansbach","Ansbach","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q896468","Bayern","Hochschule für angewandte Wissenschaften Augsburg","Augsburg","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",1,"16.67%",16.67,39.16,39.55,"Hochschule"
"Q1622234","Bayern","Hochschule für angewandte Wissenschaften Coburg","Coburg","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q1622115","Bayern","Hochschule für angewandte Wissenschaften Kempten","Kempten","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",1,"16.67%",16.67,39.16,39.55,"Hochschule"
"Q1622129","Bayern","Hochschule Neu-Ulm","Neu-Ulm","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q1622145","Bayern","Hochschule Weihenstephan-Triesdorf","Freising","Hochschule","www.hswt.de/forschung/forschungseinrichtungen/zfw/open-access-publikationsfonds.html",NA,"nein",NA,"nein","nein","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"16.67%",16.67,39.16,39.55,"Hochschule"
"Q1632429","Bayern","Katholische Stiftungshochschule München","München","Hochschule",NA,NA,NA,NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q1346417","Bayern","Hochschule Macromedia","München","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q1311824","Bayern","Munich Business School GmbH","München","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
NA,"Bayern","Ostbayerisch-Technische-Hochschule Amberg-Weiden","Amberg","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q982435","Bayern","Ostbayerisch-Technische-Hochschule Regensburg","Regensburg","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",1,"16.67%",16.67,39.16,39.55,"Hochschule"
"Q833743","Bayern","Hochschule für Angewandte Sprachen SDI München","München","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q1523703","Bayern","Technische Hochschule Aschaffenburg","Aschaffenburg","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",1,"16.67%",16.67,39.16,39.55,"Hochschule"
"Q468553","Bayern","Technische Hochschule Deggendorf","Deggendorf","Hochschule",NA,NA,"ja",NA,"nein","nein","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE",1,"16.67%",16.67,39.16,39.55,"Hochschule"
"Q1503440","Bayern","Technische Hochschule Nürnberg Georg Simon Ohm","Nürnberg","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",1,"16.67%",16.67,39.16,39.55,"Hochschule"
"Q263537","Bayern","Technische Hochschule Rosenheim","Rosenheim","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",1,"16.67%",16.67,39.16,39.55,"Hochschule"
"Q1622111","Bayern","Technische Hochschule Ingolstadt","Ingolstadt","Hochschule",NA,NA,"nein",NA,"nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",1,"16.67%",16.67,39.16,39.55,"Hochschule"
"Q56187114","Bayern","Technische Universität Nürnberg","Nürnberg","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q283099","Bayern","Universität der Bundeswehr München",NA,"Universität","ub.hsu-hh.de/open-access-publikationsfonds-der-hsu-unibw-h/",NA,"ja",NA,"nein","nein","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",3,"50%",50,39.16,39.55,"Universität"
"Q657167","Bayern","Hochschule für Musik und Theater München","München","Hochschule","www.hmtm-hannover.de/de/studium/hochschulbibliothek/open-access/",NA,"nein",NA,"nein","nein","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",2,"33.33%",33.33,39.16,39.55,"Hochschule"
"Q1532259","Bayern","Wilhelm Löhe Hochschule (WLH)","Fürth","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,39.16,39.55,"Hochschule"
"Q40025","Bayern","Friedrich-Alexander-Universität Erlangen-Nürnberg","Erlangen","Universität","ub.fau.de/haeufig-gestellte-fragen-faq/open-access/",NA,"ja",NA,"ja","nein","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,39.16,39.55,"Universität"
"Q157808","Bayern","Technische Universität München (TUM)","München","Universität","www.ub.tum.de/open-access",NA,"ja",NA,"ja","nein","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,39.16,39.55,"Universität"
"Q707272","Bayern","Otto-Friedrich-Universität Bamberg","Bamberg","Universität","www.uni-bamberg.de/ub/forschen-und-publizieren/open-access-publizieren/","Dr. Fabian Franke","ja",NA,"ja","nein","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE",5,"83.33%",83.33,39.16,39.55,"Universität"
